nplots,beta_dev,dataset,grainsize,gamma
5,51.6958,diatom_figS1f,NA,176.493
15,118.602,diatom_figS1f,NA,278.358
25,161.459,diatom_figS1f,NA,348.134
35,196.3,diatom_figS1f,NA,407.463
45,229.599,diatom_figS1f,NA,433.209
55,230.832,diatom_figS1f,NA,449.627
65,279.856,diatom_figS1f,NA,485.821
75,300.822,diatom_figS1f,NA,501.493
85,301.747,diatom_figS1f,NA,513.806
95,335.046,diatom_figS1f,NA,527.612
105,355.704,diatom_figS1f,NA,535.821
115,387.461,diatom_figS1f,NA,561.94
125,393.936,diatom_figS1f,NA,568.284
135,402.569,diatom_figS1f,NA,580.597
145,422.61,diatom_figS1f,NA,598.134
155,458.376,diatom_figS1f,NA,604.851
165,434.943,diatom_figS1f,NA,604.104
175,499.692,diatom_figS1f,NA,617.91
185,476.567,diatom_figS1f,NA,617.537
195,502.775,diatom_figS1f,NA,630.597
205,520.041,diatom_figS1f,NA,630.597
215,509.866,diatom_figS1f,NA,647.388
225,538.849,diatom_figS1f,NA,642.91
235,560.432,diatom_figS1f,NA,654.104
245,549.64,diatom_figS1f,NA,661.567
255,567.215,diatom_figS1f,NA,666.045
265,561.357,diatom_figS1f,NA,669.776
275,594.347,diatom_figS1f,NA,672.388
285,587.564,diatom_figS1f,NA,679.104
295,602.672,diatom_figS1f,NA,684.701
305,657.862,diatom_figS1f,NA,686.567
315,649.229,diatom_figS1f,NA,689.925
325,668.345,diatom_figS1f,NA,690.672
335,660.021,diatom_figS1f,NA,696.642
345,639.363,diatom_figS1f,NA,697.388
355,662.487,diatom_figS1f,NA,703.731
365,686.536,diatom_figS1f,NA,707.463
375,707.811,diatom_figS1f,NA,714.925
385,680.062,diatom_figS1f,NA,714.552
395,734.635,diatom_figS1f,NA,717.164
405,729.394,diatom_figS1f,NA,720.522
415,743.268,diatom_figS1f,NA,721.269
425,748.818,diatom_figS1f,NA,726.119
435,765.468,diatom_figS1f,NA,726.493
445,733.402,diatom_figS1f,NA,732.836
455,758.685,diatom_figS1f,NA,731.343
465,764.543,diatom_figS1f,NA,735.075
475,758.376,diatom_figS1f,NA,736.94
485,759.609,diatom_figS1f,NA,739.552
5,27.0161,forest_figS1b,50m2,86.1647
10,51.2917,forest_figS1b,50m2,118.657
15,70.4859,forest_figS1b,50m2,140.134
20,84.7018,forest_figS1b,50m2,156.714
25,98.5096,forest_figS1b,50m2,168.509
30,116.18,forest_figS1b,50m2,181.306
35,124.399,forest_figS1b,50m2,187.315
40,136.784,forest_figS1b,50m2,195.772
45,148.967,forest_figS1b,50m2,203.783
50,157.693,forest_figS1b,50m2,209.57
55,166.726,forest_figS1b,50m2,214.8
60,175.046,forest_figS1b,50m2,219.918
65,183.773,forest_figS1b,50m2,223.59
70,190.671,forest_figS1b,50m2,228.709
75,199.703,forest_figS1b,50m2,231.38
80,206.397,forest_figS1b,50m2,234.496
85,213.703,forest_figS1b,50m2,236.499
5,10.9072,ab_field_fig1f,1m2,27.9876
10,18.4344,ab_field_fig1f,1m2,36.108
15,23.2625,ab_field_fig1f,1m2,39.9691
20,28.3143,ab_field_fig1f,1m2,42.8515
25,32.578,ab_field_fig1f,1m2,46.1307
30,35.8295,ab_field_fig1f,1m2,47.0289
35,40.095,ab_field_fig1f,1m2,48.9853
40,42.6718,ab_field_fig1f,1m2,50.0157
45,45.0227,ab_field_fig1f,1m2,50.9934
50,49.2869,ab_field_fig1f,1m2,51.9445
55,50.8517,ab_field_fig1f,1m2,53.2131
60,53.3158,ab_field_fig1f,1m2,54.0848
65,55.8922,ab_field_fig1f,1m2,55.0888
70,57.6807,ab_field_fig1f,1m2,55.5903
75,60.0332,ab_field_fig1f,1m2,56.0122
80,61.8222,ab_field_fig1f,1m2,57.0163
85,64.286,ab_field_fig1f,1m2,56.962
90,65.7368,ab_field_fig1f,1m2,58.0191
95,67.5273,ab_field_fig1f,1m2,58.9436
100,69.6534,ab_field_fig1f,1m2,58.916
105,71.4418,ab_field_fig1f,1m2,59.8671
110,73.2305,ab_field_fig1f,1m2,60.0246
5,50.2899,meadow_fig1b,1m2,43.8411
15,99.3848,meadow_fig1b,1m2,75.0208
25,141.29,meadow_fig1b,1m2,91.6296
35,168.824,meadow_fig1b,1m2,102.139
45,200.549,meadow_fig1b,1m2,111.067
55,223.895,meadow_fig1b,1m2,115.59
65,235.261,meadow_fig1b,1m2,120.792
75,260.999,meadow_fig1b,1m2,125.993
85,271.171,meadow_fig1b,1m2,129.612
95,295.112,meadow_fig1b,1m2,134.022
105,307.077,meadow_fig1b,1m2,139.675
115,317.848,meadow_fig1b,1m2,139.679
125,329.813,meadow_fig1b,1m2,142.96
135,343.574,meadow_fig1b,1m2,146.354
145,355.54,meadow_fig1b,1m2,148.731
155,378.287,meadow_fig1b,1m2,150.995
165,377.078,meadow_fig1b,1m2,152.92
175,401.019,meadow_fig1b,1m2,156.087
185,414.784,meadow_fig1b,1m2,157.222
195,426.749,meadow_fig1b,1m2,158.583
205,436.917,meadow_fig1b,1m2,160.508
215,437.508,meadow_fig1b,1m2,162.659
225,448.875,meadow_fig1b,1m2,163.229
235,459.642,meadow_fig1b,1m2,163.572
245,480.59,meadow_fig1b,1m2,165.497
255,484.774,meadow_fig1b,1m2,166.52
265,484.763,meadow_fig1b,1m2,167.654
275,509.303,meadow_fig1b,1m2,168.562
285,507.499,meadow_fig1b,1m2,170.488
295,530.841,meadow_fig1b,1m2,170.945
305,532.027,meadow_fig1b,1m2,172.87
315,544.595,meadow_fig1b,1m2,173.214
325,556.56,meadow_fig1b,1m2,175.817
335,566.728,meadow_fig1b,1m2,175.144
345,568.353,meadow_fig1b,1m2,176.053
355,580.293,meadow_fig1b,1m2,176.283
365,590.413,meadow_fig1b,1m2,177.87
375,589.148,meadow_fig1b,1m2,179.23
385,601.684,meadow_fig1b,1m2,179.122
395,612.406,meadow_fig1b,1m2,180.144
405,622.527,meadow_fig1b,1m2,180.94
415,626.677,meadow_fig1b,1m2,182.075
425,636.197,meadow_fig1b,1m2,183.096
435,636.728,meadow_fig1b,1m2,183.101
445,659.443,meadow_fig1b,1m2,184.123
455,659.386,meadow_fig1b,1m2,184.692
465,671.304,meadow_fig1b,1m2,185.036
475,674.236,meadow_fig1b,1m2,185.493
485,674.791,meadow_fig1b,1m2,186.288
495,696.293,meadow_fig1b,1m2,187.084
505,695.629,meadow_fig1b,1m2,187.427
515,696.185,meadow_fig1b,1m2,187.884
525,707.503,meadow_fig1b,1m2,188.454
535,706.838,meadow_fig1b,1m2,188.686
545,720.569,meadow_fig1b,1m2,188.803
555,730.692,meadow_fig1b,1m2,189.598
565,730.626,meadow_fig1b,1m2,190.508
575,742.545,meadow_fig1b,1m2,190.513
585,741.9,meadow_fig1b,1m2,190.856
595,763.404,meadow_fig1b,1m2,190.861
605,768.734,meadow_fig1b,1m2,191.657
